"Qty","Value","Device","Package","Parts","Description","MF","MPN","OC_FARNELL","OC_NEWARK","TP_SIGNAL_NAME",
"12","","3PINDEVICEDEFAULT","3PINPACKAGE","J4, J5, J6, J7, J11, J17, J18, J19, J20, J21, J22, J23","","","","","","",
"1","","SW_DIP-4","EDG-04","SW1","DIP SWITCH","","","","","",
"7",".1uF","C-EUC0603K","C0603K","C1, C2, C3, C6, C10, C13, C17","CAPACITOR, European symbol","","","","","",
"8","0.1uF","C-EUC0603K","C0603K","C14, C15, C16, C19, C21, C22, C23, C24","CAPACITOR, European symbol","","","","","",
"18","10k","R-US_R0603","R0603","R1, R3, R6, R7, R8, R15, R16, R17, R18, R19, R23, R29, R30, R31, R32, R33, R34, R35","RESISTOR, American symbol","","","","","",
"6","10uF","C-EUC0805K","C0805K","C4, C5, C7, C11, C12, C20","CAPACITOR, European symbol","","","","","",
"3","1k","R-US_R0603","R0603","R5, R13, R14","RESISTOR, American symbol","","","","","",
"3","1uF","C-EUC0603K","C0603K","C8, C9, C18","CAPACITOR, European symbol","","","","","",
"5","220","R-US_R0603","R0603","R4, R9, R10, R11, R12","RESISTOR, American symbol","","","","","",
"1","24LC256ST","24LC128ST","TSSOP8","U2","Serial EEPROM","MICROCHIP","24LC128-I/ST","1296573","62K0578","",
"8","270","R-US_R0603","R0603","R2, R20, R21, R22, R24, R25, R26, R28","RESISTOR, American symbol","","","","","",
"1","33k","R-US_R0603","R0603","R27","RESISTOR, American symbol","","","","","",
"1","51387-0578","USBMINIB","USB-MINIB","J3","USB Connectors","","","","","",
"2","ADC124S01","ADC124S01","ADC124S021VSSOP","U$1, U$2","","","","","","",
"1","AI0","3PINDEVICEDEFAULT","3PINPACKAGE","J35","","","","","","",
"1","AI1","3PINDEVICEDEFAULT","3PINPACKAGE","J36","","","","","","",
"1","AI2","3PINDEVICEDEFAULT","3PINPACKAGE","J37","","","","","","",
"1","AI3","3PINDEVICEDEFAULT","3PINPACKAGE","J38","","","","","","",
"1","AO0","3PINDEVICEDEFAULT","3PINPACKAGE","J39","","","","","","",
"1","AO1","3PINDEVICEDEFAULT","3PINPACKAGE","J40","","","","","","",
"1","BLUE","LEDCHIPLED_0603","CHIPLED_0603","D6","LED","","","","","",
"1","BUTTON","BUTTON","RESETBUTTON300000MILLION","S1","","","","","","",
"1","FT232RL","FT232RL","SSOP28","U3","Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf","","FT232RL","1146032","91K9918","",
"2","GREEN","LEDCHIPLED_0603","CHIPLED_0603","D1, D4","LED","","","","","",
"1","HC\49USCRYSTAL","HC\49USCRYSTAL","HC\49US","Y1","","","","","","",
"1","I2C_SCL","3PINDEVICEDEFAULT","3PINPACKAGE","J12","","","","","","",
"1","I2C_SDA","3PINDEVICEDEFAULT","3PINPACKAGE","J13","","","","","","",
"1","LCD","3PINDEVICEDEFAULT","3PINPACKAGE","J16","","","","","","",
"1","MICROSD-HINGED","MICROSD-HINGED","MICRO_SD_HINGED_TYPE","J2","","","","","","",
"3","NPN-SOT416","NPN-SOT416","SC75_INFINEON","Q1, Q2, Q3","","","","","","",
"1","P8X32A-Q44_P","P8X32A-Q44_P","P8X32A-Q44","U1","","","","","","",
"1","PWM0","3PINDEVICEDEFAULT","3PINPACKAGE","J25","","","","","","",
"1","PWM1","3PINDEVICEDEFAULT","3PINPACKAGE","J26","","","","","","",
"1","PWM2","3PINDEVICEDEFAULT","3PINPACKAGE","J27","","","","","","",
"1","PWM3","3PINDEVICEDEFAULT","3PINPACKAGE","J28","","","","","","",
"1","PWM4","3PINDEVICEDEFAULT","3PINPACKAGE","J29","","","","","","",
"1","PWM5","3PINDEVICEDEFAULT","3PINPACKAGE","J30","","","","","","",
"1","PWM6","3PINDEVICEDEFAULT","3PINPACKAGE","J31","","","","","","",
"1","PWM7","3PINDEVICEDEFAULT","3PINPACKAGE","J32","","","","","","",
"1","PWM8","3PINDEVICEDEFAULT","3PINPACKAGE","J33","","","","","","",
"1","PWM9","3PINDEVICEDEFAULT","3PINPACKAGE","J34","","","","","","",
"2","RED","LEDCHIPLED_0603","CHIPLED_0603","D3, D5","LED","","","","","",
"1","REG1117","REG1117","SOT223","U7","800mA and 1A Low Dropout (LDO) Positive Regulator","","AP1117","1097566","14P6981","",
"1","RRINTERFACE-FEMALE","RRINTERFACE-FEMALE","RRINT-FEMALE","J1","","","","","","",
"1","SPI_CLK","3PINDEVICEDEFAULT","3PINPACKAGE","J9","","","","","","",
"1","SPI_CS","3PINDEVICEDEFAULT","3PINPACKAGE","J8","","","","","","",
"1","SPI_MISO","3PINDEVICEDEFAULT","3PINPACKAGE","J10","","","","","","",
"1","TC54-CB","TC54-CB","SOT23","U4","Microchip TC54 Voltage Detector","","","","","",
"2","TPPAD1-17","TPPAD1-17","P1-17","TP_5V-RR, TP_5V-USB","Test pad","","","","","",
"1","TPS2115APWR","TPS2115APWR","TSSOP-8","U6","","","","","","",
"1","TP_GND","3PINDEVICEDEFAULT","3PINPACKAGE","J24","","","","","","",
"1","UART_RX","3PINDEVICEDEFAULT","3PINPACKAGE","J15","","","","","","",
"1","UART_TX","3PINDEVICEDEFAULT","3PINPACKAGE","J14","","","","","","",
"1","YELLOW","LEDCHIPLED_0603","CHIPLED_0603","D2","LED","","","","","",
