Screaming Circuits SMD component position file.,,,,,
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.,,,,,
,,,,,
"Centroid Data for pc board: ""RoboRio Expansion Board V2.brd"" as of: 2/1/2016 7:05 PM",,,,,
Measurements are in inches. Comma delimited,,,,,
Only surface mount components included,,,,,
,,,,,
RefDes,Layer,LocationX,LocationY,Rotation,Part Number (MPN)
C1,Top,1.7,2.98,0,C0603C103K5RACTU
C2,Top,1.77,2.8,270,C1608C0G1H470J080AA
C3,Top,1.84,2.8,270,C1608C0G1H470J080AA
C4,Top,1.419,2.679,270,C1608X7R1C105K080AC
C5,Top,1.9,2.38,180,C0603C104K4RACTU
C6,Top,1.353,2.283,180,C0603C104K4RACTU
C7,Top,2,2.243,90,C0603C104K4RACTU
C8,Top,2.07,2.243,90,C0603C104K4RACTU
C9,Top,2.14,2.243,90,C0603C104K4RACTU
C10,Top,0.65,1.97,180,C0603C104K4RACTU
C11,Top,0.9,2.06,270,C1608X7R1C105K080AC
C12,Top,1.16,2.025,0,C0603C104K4RACTU
C13,Top,1.16,1.964,180,C1608X7R1C105K080AC
C15,Top,1.5,1.85,180,C2012X7R1A106K125AC
C16,Top,1.65,1.85,180,C2012X7R1A106K125AC
C17,Top,1.5,1.76,180,C2012X7R1A106K125AC
C18,Top,1.65,1.76,180,C2012X7R1A106K125AC
C19,Top,1.65,1.67,180,C2012X7R1A106K125AC
C20,Top,0.595,1.695,90,C1608X7R1C105K080AC
C21,Top,2,1.63,270,C0603C104K4RACTU
C22,Top,0.9,1.38,180,C1608X7R1C105K080AC
C23,Top,1.57,1.5,0,C0603C104K4RACTU
C24,Top,1.57,1.4,0,C0603C104K4RACTU
C25,Top,1.57,1.3,0,C0603C104K4RACTU
C26,Top,1.57,1.2,0,C0603C104K4RACTU
C27,Top,1.57,1.1,0,C0603C104K4RACTU
C28,Top,1.57,1,0,C0603C104K4RACTU
C29,Top,1.57,0.9,0,C0603C104K4RACTU
C30,Top,1.57,0.8,0,C0603C104K4RACTU
C31,Top,1.38,1.1,0,C0603C104K4RACTU
C32,Top,1.38,0.77,0,C0603C104K4RACTU
D1,Top,0.8,2.36,0,LTST-C191KGKT
