Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "RoboRio Expansion Board V2.brd" as of: 2/1/2016 7:05 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.700,2.980,0
C2,Top,1.770,2.800,270
C3,Top,1.840,2.800,270
C4,Top,1.419,2.679,270
C5,Top,1.900,2.380,180
C6,Top,1.353,2.283,180
C7,Top,2.000,2.243,90
C8,Top,2.070,2.243,90
C9,Top,2.140,2.243,90
C10,Top,0.650,1.970,180
C11,Top,0.900,2.060,270
C12,Top,1.160,2.025,0
C13,Top,1.160,1.964,180
C14,Top,1.761,1.922,0
C15,Top,1.500,1.850,180
C16,Top,1.650,1.850,180
C17,Top,1.500,1.760,180
C18,Top,1.650,1.760,180
C19,Top,1.650,1.670,180
C20,Top,0.595,1.695,90
C21,Top,2.000,1.630,270
C22,Top,0.900,1.380,180
C23,Top,1.570,1.500,0
C24,Top,1.570,1.400,0
C25,Top,1.570,1.300,0
C26,Top,1.570,1.200,0
C27,Top,1.570,1.100,0
C28,Top,1.570,1.000,0
C29,Top,1.570,0.900,0
C30,Top,1.570,0.800,0
C31,Top,1.380,1.100,0
C32,Top,1.380,0.770,0
D1,Top,0.800,2.360,0
D2,Top,0.900,2.360,0
D3,Top,1.000,2.360,0
D4,Top,1.100,2.360,0
D5,Top,1.840,2.630,90
D6,Top,1.840,2.570,90
D7,Top,1.840,2.510,90
J2,Top,0.275,2.391,270
J3,Top,2.155,2.500,180
L1,Top,1.900,2.450,180
Q1,Top,1.680,2.810,180
Q2,Top,1.860,1.950,0
Q3,Top,1.930,1.950,0
R1,Top,0.600,2.875,180
R2,Top,0.600,2.955,180
R3,Top,0.600,2.795,180
R4,Top,0.600,2.715,180
R5,Top,1.700,2.900,0
R6,Top,1.500,2.680,270
R7,Top,1.580,2.680,270
R8,Top,1.720,2.630,180
R9,Top,1.720,2.550,180
R10,Top,1.720,2.470,180
R11,Top,0.650,2.500,180
R12,Top,0.650,2.410,180
R13,Top,0.650,2.320,180
R14,Top,0.650,2.230,180
R15,Top,0.650,2.140,180
R16,Top,0.650,2.050,180
R17,Top,0.800,2.480,90
R18,Top,0.900,2.480,90
R19,Top,1.000,2.480,90
R20,Top,1.100,2.480,90
R21,Top,1.080,2.145,270
R22,Top,1.830,2.090,90
R23,Top,1.910,2.090,90
R24,Top,1.800,1.820,0
R25,Top,1.930,1.820,0
R26,Top,2.030,1.790,270
R27,Top,2.130,1.820,0
R28,Top,1.800,1.720,0
R29,Top,2.130,1.720,0
R30,Top,1.700,1.600,180
R31,Top,1.700,1.500,0
R32,Top,1.700,1.400,180
R33,Top,1.700,1.300,180
R34,Top,1.700,1.200,180
R35,Top,1.700,1.100,180
R36,Top,1.700,1.000,180
R37,Top,1.700,0.900,180
R38,Top,1.700,0.800,180
SW1,Top,1.430,2.875,180
U1,Top,1.390,2.470,0
U2,Top,1.190,2.290,180
U3,Top,1.270,2.140,90
U4,Top,1.550,2.100,0
U5,Top,2.050,2.010,90
U6,Top,0.900,1.700,0
U7,Top,1.900,1.650,0
U8,Top,1.420,1.280,0
U9,Top,1.420,0.940,0
Y1,Top,1.300,1.670,270
